Successful Private Members' Bills since 1983,,,,,,,,,,,,,,
[Note 1] [Note 2] [Note 3] [Note 4],,,,,,,,,,,,,,
Parliament number,Session number,Parliament,Session,Bill type,Title of bill as presented,Presented by,Presented by (sort name),MNIS Member ID,Member's party (1),Member's party (2),Member's constituency,Act title,Bill URL,Act URL
49,2,1983-87,1984-85  ,Ballot,Local Government (Access to Information) Bill 1984/85,Robin Squire,"Squire, Robin",1195,Conservative,[z],Hornchurch,Local Government (Access to Information) Act 1985,[x],https://www.legislation.gov.uk/ukpga/1985/43
49,2,1983-87,1984-85  ,Ballot,Motor-cycle Crash-helmets (Restriction of Liability) Bill 1984/85,Ivor Stanbrook,"Stanbrook, Ivor",1180,Conservative,[z],Orpington,Motor-cycle Crash-helmets (Restriction of Liability) Act 1985,[x],[x]
49,2,1983-87,1984-85  ,Ballot,Road Traffic (Production of Documents) Bill 1984/85,Timothy Smith,"Smith, Timothy",1245,Conservative,[z],Beaconsfield,Road Traffic (Production of Documents) Act 1985,[x],https://www.legislation.gov.uk/ukpga/1985/34
49,2,1983-87,1984-85  ,Ballot,Sexual Offences Bill 1984/85,Janet Fookes,"Fookes, Janet",830,Conservative,[z],"Plymouth, Drake",Sexual Offences Act 1985,[x],https://www.legislation.gov.uk/ukpga/1985/44
49,2,1983-87,1984-85  ,Ballot,Wildlife and Countryside (Amendment) Bill 1984/85,David Clark,"Clark, David",525,Labour,[z],South Shields,Wildlife and Countryside (Amendment) Act 1985,[x],https://www.legislation.gov.uk/ukpga/1985/31
49,2,1983-87,1984-85  ,Lords,"Betting, Gaming and Lotteries (Amendment) Bill (HL) 1984/85",Lord Newall,"Newall, L.",1917,Conservative,[z],[z],"Betting, Gaming and Lotteries (Amendment) Act 1985",[x],https://www.legislation.gov.uk/ukpga/1985/18
49,2,1983-87,1984-85  ,Lords,Charities Bill (HL) 1984/85,Viscount Colville of Culross,"Colville of Culross, V.",3421,Crossbench,[z],[z],Charities Act 1985,[x],https://www.legislation.gov.uk/ukpga/1985/20
49,2,1983-87,1984-85  ,Lords,Dangerous Vessels Bill (HL) 1984/85,Lord Walston,"Walston, L.",2285,Social Democratic Party,[z],[z],Dangerous Vessels Act 1985,[x],https://www.legislation.gov.uk/ukpga/1985/22
49,2,1983-87,1984-85  ,Lords,Licensing (Amendment) Bill (HL) 1984/85,Lord Harmar-Nicholls,"Harmar-Nicholls, L.",2676,Conservative,[z],[z],Licensing (Amendment) Act 1985,[x],https://www.legislation.gov.uk/ukpga/1985/40
49,3,1983-87,1985-86  ,Presentation,Forestry Bill 1985/86,John Stradling Thomas,"Stradling Thomas, John ",724,Conservative,[z],Monmouth,Forestry Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/30
49,3,1983-87,1985-86  ,Presentation,Local Government (Access to Information) Act 1985 (Extension) Bill 1985/86,Brian Mawhinney,"Mawhinney, Brian",121,Conservative,[z],Peterborough,Health Service Joint Consultative Committees (Access to Information) Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/24
49,3,1983-87,1985-86  ,Presentation,Highways (Amendment) Bill 1985/86,Michael Cocks,"Cocks, Michael",782,Labour,[z],Bristol South,Highways (Amendment) Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/13
49,3,1983-87,1985-86  ,Presentation,Law Reform (Parent and Child) (Scotland) Bill 1985/86,James Douglas-Hamilton,"Douglas-Hamilton, James",802,Conservative,[z],Edinburgh West,Law Reform (Parent and Child) (Scotland) Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/9
49,3,1983-87,1985-86  ,Presentation,Marriage (Wales) Bill 1985/86,Donald Coleman,"Coleman, Donald",723,Labour,[z],Neath,Marriage (Wales) Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/7
49,3,1983-87,1985-86  ,Presentation,Tobacco Products (Sales Restriction) Bill 1985/86,John Home Robertson,"Home Robertson, John",594,Labour,[z],East Lothian,Protection of Children (Tobacco) Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/34
49,3,1983-87,1985-86  ,Ballot,Children and Young Persons (Amendment) Bill 1985/86,Dennis Walters,"Walters, Dennis",1298,Conservative,[z],Westbury,Children and Young Persons (Amendment) Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/28
49,3,1983-87,1985-86  ,Ballot,Civil Protection in Peacetime Bill 1985/86,Nicholas Bonsor,"Bonsor, Nicholas",1088,Conservative,[z],Upminster,Civil Protection in Peacetime Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/22
49,3,1983-87,1985-86  ,Ballot,Consumer Safety (Amendment) Bill 1985/86,Conal Gregory,"Gregory, Conal",1142,Conservative,[z],York,Consumer Safety (Amendment) Act 1986,[x],[x]
49,3,1983-87,1985-86  ,Ballot,Corneal Tissue Bill 1985/86,John Hannam,"Hannam, John",729,Conservative,[z],Exeter,Corneal Tissue Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/18
49,3,1983-87,1985-86  ,Ballot,"Disabled Persons (Services, Consultation and Representation) Bill 1985/86",Tom Clarke,"Clarke, Tom",583,Labour,[z],"Coatbridge, Chryston and Bellshill","Disabled Persons (Services, Consultation and Representation) Act 1986",[x],https://www.legislation.gov.uk/ukpga/1986/33
49,3,1983-87,1985-86  ,Ballot,Drainage Rates (Disabled Persons) Bill 1985/86,Gerard Vaughan,"Vaughan, Gerard",1255,Conservative,[z],Reading East,Drainage Rates (Disabled Persons) Act 1986,[x],[x]
49,3,1983-87,1985-86  ,Ballot,Horticultural Produce Bill 1985/86,John Wells,"Wells, John",1223,Conservative,[z],Maidstone,Horticultural Produce Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/20
49,3,1983-87,1985-86  ,Ballot,Industrial Training Bill 1985/86,William Clark,"Clark, William",1074,Conservative,[z],Croydon South,Industrial Training Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/15
49,3,1983-87,1985-86  ,Ballot,Protection of Military Remains Bill 1985/86,Michael Mates,"Mates, Michael",49,Conservative,[z],East Hampshire,Protection of Military Remains Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/35
49,3,1983-87,1985-86  ,Ballot,Road Traffic Regulations (Parking) Bill 1985/86,Kevin McNamara,"McNamara, Kevin",375,Labour,[z],Kingston upon Hull North,Road Traffic Regulation (Parking) Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/27
49,3,1983-87,1985-86  ,Ballot,Safety at Sea 1985/86,Albert McQuarrie,"McQuarrie, Albert",1349,Conservative,[z],Banff and Buchan,Safety at Sea Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/23
49,3,1983-87,1985-86  ,Lords,Incest and Related Offences (Scotland) Bill (HL) 1985/86,Lord Wilson of Langside,"Wilson of Langside, L.",2848,Crossbench,[z],[z],Incest and Related Offences (Scotland) Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/36
49,3,1983-87,1985-86  ,Lords,Marriage Bill (HL) 1985/86,Lord Meston,"Meston, L.",1940,Liberal Democrat,[z],[z],Marriage (Prohibited Degrees of Relationship) Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/16
49,3,1983-87,1985-86  ,Lords,Gaming (Amendment) Bill (HL) 1985/86,Lord Harris of Greenwich,"Harris of Greenwich, L.",2682,Social Democratic Party,[z],[z],Gaming (Amendment) Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/11
49,3,1983-87,1985-86  ,Lords,Prevention of Oil Pollution Bill (HL) 1985/86,Lord Walston,"Walston, L.",2285,Social Democratic Party,[z],[z],Prevention of Oil Pollution Act 1986,[x],https://www.legislation.gov.uk/ukpga/1986/6
49,4,1983-87,1986-87  ,Presentation,Deer Bill 1986/87,David Knox,"Knox, David",995,Conservative,[z],Staffordshire Moorlands,Deer Act 1987,[x],https://www.legislation.gov.uk/ukpga/1987/28
49,4,1983-87,1986-87  ,Presentation,Prescription (Scotland) Bill 1986/87,Michael Hirst,"Hirst, Michael",867,Conservative,[z],Strathkelvin and Bearsden,Prescription (Scotland) Act 1987,[x],https://www.legislation.gov.uk/ukpga/1987/36
49,4,1983-87,1986-87  ,Presentation,Dog Fighting (Penalties) Bill 1986/87,Harry Greenway,"Greenway, Harry",1129,Conservative,[z],Ealing North,Protection of Animals (Penalties) Act 1987,[x],https://www.legislation.gov.uk/ukpga/1987/35
49,4,1983-87,1986-87  ,Presentation,Register of Sasines (Scotland) Bill 1986/87,Michael J. Martin,"Martin, Michael J.",3899,Labour,[z],"Glasgow, Springburn",Register of Sasines (Scotland) Act 1987,[x],https://www.legislation.gov.uk/ukpga/1987/23
49,4,1983-87,1986-87  ,Presentation,Registered Establishments (Scotland) Bill 1986/87,Albert McQuarrie,"McQuarrie, Albert",1349,Conservative,[z],Banff and Buchan,Registered Establishments (Scotland) Act 1987,[x],https://www.legislation.gov.uk/ukpga/1987/40
49,4,1983-87,1986-87  ,Ballot,Access to Personal Files Bill 1986/87,Archy Kirkwood,"Kirkwood, Archy",635,Liberal  ,[z],Roxburgh and Berwickshire,Access to Personal Files Act 1987,[x],https://www.legislation.gov.uk/ukpga/1987/37
49,4,1983-87,1986-87  ,Ballot,Agricultural Training Board Bill 1986/87,Gerry Neale,"Neale, Gerry",1279,Conservative,[z],North Cornwall,Agricultural Training Board Act 1987,[x],https://www.legislation.gov.uk/ukpga/1987/29
49,4,1983-87,1986-87  ,Ballot,AIDS (Control) Etc Bill 1986/87,Gavin Strang,"Strang, Gavin",597,Labour,[z],Edinburgh East,AIDS (Control) Act 1987,[x],https://www.legislation.gov.uk/ukpga/1987/33
49,4,1983-87,1986-87  ,Ballot,Crossbows Bill 1986/87,Peter Bruinvels,"Bruinvels, Peter",765,Conservative,[z],Leicester East,Crossbows Act 1987,[x],https://www.legislation.gov.uk/ukpga/1987/32
49,4,1983-87,1986-87  ,Ballot,Crown Proceedings (Armed Forces) Bill 1986/87,Winston Churchill,"Churchill, Winston",1081,Conservative,[z],Davyhulme,Crown Proceedings (Armed Forces) Act 1987,[x],https://www.legislation.gov.uk/ukpga/1987/25
